step,actic loss,critic loss,average distance,time
10,-76.1367,26.4044,5.2166,0min0sec
20,-55.7716,19.4920,5.2178,0min0sec
30,-24.8295,16.1500,5.2112,0min0sec
40,-20.0549,12.4479,5.2042,0min0sec
50,-15.7247,10.1659,5.1920,0min0sec
60,-13.1575,8.6098,5.1053,0min0sec
70,-11.3375,7.4838,4.9878,0min0sec
80,-9.9424,6.6347,4.8925,0min0sec
90,-8.8515,5.9717,4.8177,0min0sec
100,-7.9729,5.4427,4.7594,0min0sec
110,-7.2624,5.0060,4.7073,0min0sec
120,-6.6630,4.6392,4.6650,0min0sec
130,-6.1504,4.3304,4.6277,0min0sec
140,-5.7243,4.0653,4.5966,0min0sec
150,-5.3428,3.8358,4.5699,0min0sec
160,-5.0094,3.6338,4.5463,0min0sec
170,-4.7174,3.4548,4.5250,0min0sec
180,-4.4595,3.2957,4.5066,0min0sec
190,-4.2255,3.1534,4.4898,0min0sec
200,-4.0115,3.0260,4.4749,0min0sec
210,-3.8220,2.9097,4.4602,0min0sec
220,-3.6462,2.8043,4.4492,0min0sec
230,-3.4871,2.7068,4.4376,0min0sec
240,-3.3412,2.6175,4.4272,0min0sec
250,-3.2054,2.5369,4.4165,0min0sec
260,-3.0826,2.4626,4.4086,0min0sec
270,-2.9703,2.3935,4.4007,0min0sec
280,-2.8649,2.3286,4.3932,0min0sec
290,-2.7665,2.2695,4.3857,0min0sec
300,-2.6750,2.2131,4.3786,0min0sec
310,-2.5879,2.1603,4.3725,0min0sec
320,-2.5073,2.1112,4.3663,0min0sec
330,-2.4319,2.0652,4.3606,0min0sec
340,-2.3613,2.0215,4.3548,0min0sec
350,-2.2930,1.9804,4.3498,0min0sec
360,-2.2279,1.9422,4.3458,0min0sec
370,-2.1684,1.9061,4.3418,0min0sec
380,-2.1105,1.8717,4.3375,0min0sec
390,-2.0547,1.8379,4.3333,0min0sec
400,-2.0045,1.8071,4.3303,0min0sec
410,-1.9561,1.7767,4.3266,0min0sec
420,-1.9091,1.7488,4.3230,0min0sec
430,-1.8648,1.7223,4.3197,0min0sec
440,-1.8208,1.6963,4.3164,0min0sec
450,-1.7799,1.6719,4.3139,0min0sec
460,-1.7409,1.6477,4.3113,0min0sec
470,-1.7035,1.6249,4.3084,0min0sec
480,-1.6664,1.6036,4.3059,0min0sec
490,-1.6304,1.5823,4.3036,0min0sec
500,-1.5991,1.5621,4.3014,0min0sec
510,-1.5672,1.5428,4.2994,0min0sec
520,-1.5376,1.5236,4.2971,0min0sec
530,-1.5070,1.5058,4.2943,0min0sec
540,-1.4787,1.4891,4.2920,0min0sec
550,-1.4509,1.4731,4.2901,0min0sec
560,-1.4244,1.4570,4.2882,0min0sec
570,-1.3991,1.4413,4.2861,0min0sec
580,-1.3746,1.4264,4.2844,0min0sec
590,-1.3513,1.4116,4.2828,0min0sec
600,-1.3280,1.3977,4.2809,0min0sec
610,-1.3059,1.3839,4.2791,0min0sec
620,-1.2849,1.3705,4.2772,0min0sec
630,-1.2636,1.3577,4.2758,0min0sec
640,-1.2437,1.3453,4.2744,0min0sec
650,-1.2247,1.3334,4.2728,0min0sec
660,-1.2062,1.3217,4.2715,0min0sec
670,-1.1879,1.3106,4.2703,0min0sec
680,-1.1708,1.2999,4.2687,0min0sec
690,-1.1542,1.2892,4.2675,0min0sec
700,-1.1374,1.2781,4.2662,0min0sec
710,-1.1209,1.2673,4.2651,0min0sec
720,-1.1037,1.2564,4.2642,0min0sec
730,-1.0884,1.2458,4.2639,0min0sec
740,-1.0733,1.2353,4.2629,0min0sec
750,-1.0586,1.2251,4.2620,0min0sec
760,-1.0447,1.2148,4.2610,0min0sec
770,-1.0317,1.2045,4.2600,0min0sec
