step,actic loss,critic loss,average distance,time
10,-435.4509,107.6074,10.4428,0min0sec
20,-352.3959,79.9587,10.4128,0min0sec
30,-189.5490,59.2757,10.4028,0min0sec
40,-145.1128,45.6318,10.2936,0min0sec
50,-113.2335,37.0875,9.9514,0min0sec
60,-95.7129,31.2437,9.5870,0min0sec
70,-82.0127,27.0435,9.3068,0min0sec
80,-71.9566,23.8599,9.0924,0min0sec
90,-64.0639,21.3775,8.9289,0min0sec
100,-57.7749,19.3930,8.7949,0min0sec
110,-52.5984,17.7615,8.6804,0min0sec
120,-48.3142,16.4033,8.5881,0min0sec
130,-44.6151,15.2462,8.5069,0min0sec
140,-41.4693,14.2579,8.4358,0min0sec
150,-38.7266,13.4106,8.3732,0min0sec
160,-36.2809,12.6580,8.3207,0min0sec
170,-34.1617,11.9934,8.2769,0min0sec
180,-32.2614,11.4048,8.2383,0min0sec
190,-30.5537,10.8770,8.2048,0min0sec
200,-29.0612,10.3988,8.1720,0min0sec
210,-27.6924,9.9659,8.1457,0min0sec
220,-26.4601,9.5740,8.1162,0min0sec
230,-25.3340,9.2146,8.0903,0min0sec
240,-24.3017,8.8906,8.0654,0min0sec
250,-23.2923,8.5921,8.0438,0min0sec
260,-22.4028,8.3115,8.0215,0min0sec
270,-21.5738,8.0503,8.0006,0min0sec
280,-20.8113,7.8073,7.9816,0min0sec
290,-20.0961,7.5802,7.9642,0min0sec
300,-19.4376,7.3703,7.9483,0min0sec
310,-18.8035,7.1720,7.9345,0min0sec
320,-18.2245,6.9868,7.9207,0min0sec
330,-17.6685,6.8122,7.9099,0min0sec
340,-17.1506,6.6490,7.8981,0min0sec
350,-16.6697,6.4955,7.8873,0min0sec
360,-16.2109,6.3513,7.8778,0min0sec
370,-15.7703,6.2128,7.8708,0min0sec
380,-15.3610,6.0828,7.8619,0min0sec
390,-14.9501,5.9605,7.8526,0min0sec
400,-14.5821,5.8420,7.8447,0min0sec
410,-14.2259,5.7293,7.8383,0min0sec
420,-13.8884,5.6211,7.8353,0min0sec
430,-13.5704,5.5205,7.8319,0min0sec
440,-13.2665,5.4231,7.8276,0min0sec
450,-12.9704,5.3289,7.8228,0min0sec
460,-12.6906,5.2405,7.8171,0min0sec
470,-12.4178,5.1538,7.8128,0min0sec
480,-12.1575,5.0719,7.8083,0min0sec
490,-11.9130,4.9956,7.8029,0min0sec
