步骤, 状态栈, 符号栈, 动作说明
0,0 1 ,# { ,移进
1,0 1 3 ,# { DECLS ,规约： DECLS->$ 
2,0 1 3 5 ,# { DECLS int ,移进
3,0 1 3 5 17 ,# { DECLS int id ,移进
4,0 1 3 5 15 ,# { DECLS int NAME ,规约： NAME->id 
5,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAME 
6,0 1 3 5 78 18 ,# { DECLS int NAMES ，,移进
7,0 1 3 5 78 18 17 ,# { DECLS int NAMES ，id ,移进
8,0 1 3 5 78 18 20 ,# { DECLS int NAMES ，NAME ,规约： NAME->id 
9,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAMES ，NAME 
10,0 1 3 5 78 18 ,# { DECLS int NAMES ，,移进
11,0 1 3 5 78 18 17 ,# { DECLS int NAMES ，id ,移进
12,0 1 3 5 78 18 20 ,# { DECLS int NAMES ，NAME ,规约： NAME->id 
13,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAMES ，NAME 
14,0 1 3 5 78 79 ,# { DECLS int NAMES ; ,移进
15,0 1 3 6 ,# { DECLS DECL ,规约： DECL->int NAMES ; 
16,0 1 3 ,# { DECLS ,规约： DECLS->DECLS DECL 
17,0 1 3 9 ,# { DECLS read ,移进
18,0 1 3 9 31 ,# { DECLS read id ,移进
19,0 1 3 9 31 32 ,# { DECLS read id ; ,移进
20,0 1 3 13 ,# { DECLS STMT ,规约： STMT->read id ; 
21,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMT 
22,0 1 3 4 9 ,# { DECLS STMTS read ,移进
23,0 1 3 4 9 31 ,# { DECLS STMTS read id ,移进
24,0 1 3 4 9 31 32 ,# { DECLS STMTS read id ; ,移进
25,0 1 3 4 80 ,# { DECLS STMTS STMT ,规约： STMT->read id ; 
26,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMTS STMT 
27,0 1 3 4 8 ,# { DECLS STMTS id ,移进
28,0 1 3 4 8 33 ,# { DECLS STMTS id = ,移进
29,0 1 3 4 8 33 43 ,# { DECLS STMTS id = id ,移进
30,0 1 3 4 8 33 47 ,# { DECLS STMTS id = FACTOR ,规约： FACTOR->id 
31,0 1 3 4 8 33 42 ,# { DECLS STMTS id = NEGA ,规约： NEGA->FACTOR 
32,0 1 3 4 8 33 39 ,# { DECLS STMTS id = TERM ,规约： TERM->NEGA 
33,0 1 3 4 8 33 73 ,# { DECLS STMTS id = EXPR ,规约： EXPR->TERM 
34,0 1 3 4 8 33 73 55 ,# { DECLS STMTS id = EXPR + ,移进
35,0 1 3 4 8 33 73 54 ,# { DECLS STMTS id = EXPR ADD ,规约： ADD->+ 
36,0 1 3 4 8 33 73 54 45 ,# { DECLS STMTS id = EXPR ADD number ,移进
37,0 1 3 4 8 33 73 54 47 ,# { DECLS STMTS id = EXPR ADD FACTOR ,规约： FACTOR->number 
38,0 1 3 4 8 33 73 54 42 ,# { DECLS STMTS id = EXPR ADD NEGA ,规约： NEGA->FACTOR 
39,0 1 3 4 8 33 73 54 58 ,# { DECLS STMTS id = EXPR ADD TERM ,规约： TERM->NEGA 
40,0 1 3 4 8 33 73 ,# { DECLS STMTS id = EXPR ,规约： EXPR->EXPR ADD TERM 
41,0 1 3 4 8 33 73 55 ,# { DECLS STMTS id = EXPR + ,移进
42,0 1 3 4 8 33 73 54 ,# { DECLS STMTS id = EXPR ADD ,规约： ADD->+ 
43,0 1 3 4 8 33 73 54 45 ,# { DECLS STMTS id = EXPR ADD number ,移进
44,0 1 3 4 8 33 73 54 47 ,# { DECLS STMTS id = EXPR ADD FACTOR ,规约： FACTOR->number 
45,0 1 3 4 8 33 73 54 42 ,# { DECLS STMTS id = EXPR ADD NEGA ,规约： NEGA->FACTOR 
46,0 1 3 4 8 33 73 54 58 ,# { DECLS STMTS id = EXPR ADD TERM ,规约： TERM->NEGA 
47,0 1 3 4 8 33 73 54 58 59 ,# { DECLS STMTS id = EXPR ADD TERM * ,移进
48,0 1 3 4 8 33 73 54 58 61 ,# { DECLS STMTS id = EXPR ADD TERM MUL ,规约： MUL->* 
49,0 1 3 4 8 33 73 54 58 61 45 ,# { DECLS STMTS id = EXPR ADD TERM MUL number ,移进
50,0 1 3 4 8 33 73 54 58 61 47 ,# { DECLS STMTS id = EXPR ADD TERM MUL FACTOR ,规约： FACTOR->number 
51,0 1 3 4 8 33 73 54 58 61 62 ,# { DECLS STMTS id = EXPR ADD TERM MUL NEGA ,规约： NEGA->FACTOR 
52,0 1 3 4 8 33 73 54 58 ,# { DECLS STMTS id = EXPR ADD TERM ,规约： TERM->TERM MUL NEGA 
53,0 1 3 4 8 33 73 54 58 59 ,# { DECLS STMTS id = EXPR ADD TERM * ,移进
54,0 1 3 4 8 33 73 54 58 61 ,# { DECLS STMTS id = EXPR ADD TERM MUL ,规约： MUL->* 
55,0 1 3 4 8 33 73 54 58 61 45 ,# { DECLS STMTS id = EXPR ADD TERM MUL number ,移进
56,0 1 3 4 8 33 73 54 58 61 47 ,# { DECLS STMTS id = EXPR ADD TERM MUL FACTOR ,规约： FACTOR->number 
57,0 1 3 4 8 33 73 54 58 61 62 ,# { DECLS STMTS id = EXPR ADD TERM MUL NEGA ,规约： NEGA->FACTOR 
58,0 1 3 4 8 33 73 54 58 ,# { DECLS STMTS id = EXPR ADD TERM ,规约： TERM->TERM MUL NEGA 
59,0 1 3 4 8 33 73 ,# { DECLS STMTS id = EXPR ,规约： EXPR->EXPR ADD TERM 
60,0 1 3 4 8 33 73 74 ,# { DECLS STMTS id = EXPR ; ,移进
61,0 1 3 4 80 ,# { DECLS STMTS STMT ,规约： STMT->id = EXPR ; 
62,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMTS STMT 
63,0 1 3 4 8 ,# { DECLS STMTS id ,移进
64,0 1 3 4 8 33 ,# { DECLS STMTS id = ,移进
65,0 1 3 4 8 33 43 ,# { DECLS STMTS id = id ,移进
66,0 1 3 4 8 33 47 ,# { DECLS STMTS id = FACTOR ,规约： FACTOR->id 
67,0 1 3 4 8 33 42 ,# { DECLS STMTS id = NEGA ,规约： NEGA->FACTOR 
68,0 1 3 4 8 33 39 ,# { DECLS STMTS id = TERM ,规约： TERM->NEGA 
69,0 1 3 4 8 33 39 59 ,# { DECLS STMTS id = TERM * ,移进
70,0 1 3 4 8 33 39 61 ,# { DECLS STMTS id = TERM MUL ,规约： MUL->* 
71,0 1 3 4 8 33 39 61 45 ,# { DECLS STMTS id = TERM MUL number ,移进
72,0 1 3 4 8 33 39 61 47 ,# { DECLS STMTS id = TERM MUL FACTOR ,规约： FACTOR->number 
73,0 1 3 4 8 33 39 61 62 ,# { DECLS STMTS id = TERM MUL NEGA ,规约： NEGA->FACTOR 
74,0 1 3 4 8 33 39 ,# { DECLS STMTS id = TERM ,规约： TERM->TERM MUL NEGA 
