step,actic loss,critic loss,average distance,time
10,-677.9367,154.9938,12.5441,0min0sec
20,-568.3099,118.2666,12.5274,0min0sec
30,-336.7536,84.0104,12.5168,0min0sec
40,-259.6064,64.4589,12.5128,0min0sec
50,-204.8970,52.3325,12.4817,0min0sec
60,-172.3269,44.0589,12.2698,0min0sec
70,-147.5514,38.0721,11.8643,0min0sec
80,-129.4242,33.5597,11.5036,0min0sec
90,-115.2390,30.0387,11.2056,0min0sec
100,-103.9429,27.2215,10.9719,0min0sec
110,-94.5905,24.9275,10.7782,0min0sec
120,-86.7445,23.0055,10.6137,0min0sec
130,-80.1325,21.3689,10.4735,0min0sec
140,-74.4584,19.9607,10.3533,0min0sec
150,-69.5699,18.7379,10.2576,0min0sec
160,-65.2747,17.6732,10.1704,0min0sec
170,-61.4386,16.7286,10.0898,0min0sec
180,-58.0860,15.8851,10.0252,0min0sec
190,-55.0119,15.1293,9.9640,0min0sec
200,-52.3120,14.4512,9.9047,0min0sec
210,-49.8099,13.8391,9.8515,0min0sec
220,-47.5672,13.2843,9.8029,0min0sec
230,-45.5413,12.7768,9.7590,0min0sec
240,-43.6717,12.3135,9.7181,0min0sec
250,-41.9323,11.8819,9.6807,0min0sec
260,-40.3361,11.4860,9.6455,0min0sec
270,-38.8536,11.1150,9.6138,0min0sec
280,-37.4835,10.7715,9.5837,0min0sec
290,-36.1977,10.4532,9.5559,0min0sec
300,-35.0137,10.1580,9.5288,0min0sec
310,-33.8958,9.8821,9.5040,0min0sec
320,-32.8452,9.6218,9.4800,0min0sec
330,-31.8452,9.3801,9.4588,0min0sec
340,-30.9285,9.1530,9.4391,0min0sec
350,-30.0380,8.9372,9.4211,0min0sec
360,-29.2095,8.7332,9.4050,0min0sec
370,-28.4333,8.5400,9.3875,0min0sec
380,-27.6955,8.3582,9.3702,0min0sec
390,-26.9913,8.1843,9.3542,0min0sec
400,-26.3159,8.0185,9.3382,0min0sec
410,-25.6774,7.8609,9.3240,0min0sec
420,-25.0733,7.7097,9.3103,0min0sec
430,-24.4971,7.5634,9.2988,0min0sec
440,-23.9437,7.4250,9.2864,0min0sec
450,-23.4065,7.2938,9.2740,0min0sec
460,-22.8983,7.1679,9.2630,0min0sec
470,-22.4153,7.0473,9.2516,0min0sec
480,-21.9608,6.9325,9.2411,0min0sec
490,-21.5135,6.8250,9.2305,0min0sec
500,-21.0963,6.7219,9.2205,0min0sec
510,-20.6768,6.6244,9.2114,0min0sec
520,-20.2994,6.5306,9.2021,0min0sec
530,-19.9087,6.4412,9.1935,0min0sec
540,-19.5432,6.3517,9.1869,0min0sec
550,-19.1840,6.2642,9.1809,0min0sec
560,-18.8463,6.1805,9.1738,0min0sec
570,-18.5199,6.0985,9.1669,0min0sec
580,-18.2023,6.0195,9.1590,0min0sec
590,-17.9080,5.9451,9.1531,0min0sec
600,-17.5933,5.8748,9.1470,0min0sec
610,-17.3199,5.8077,9.1409,0min0sec
620,-17.0430,5.7390,9.1345,0min0sec
630,-16.7779,5.6721,9.1284,0min0sec
640,-16.5217,5.6083,9.1225,0min0sec
650,-16.2693,5.5468,9.1173,0min0sec
660,-16.0235,5.4866,9.1116,0min0sec
670,-15.7970,5.4294,9.1066,0min0sec
680,-15.5682,5.3740,9.1016,0min0sec
690,-15.3429,5.3209,9.0973,0min0sec
700,-15.1221,5.2685,9.0926,0min0sec
710,-14.9140,5.2167,9.0881,0min0sec
720,-14.7142,5.1672,9.0838,0min0sec
730,-14.5149,5.1187,9.0793,0min0sec
740,-14.3189,5.0707,9.0747,0min0sec
750,-14.1298,5.0245,9.0700,0min0sec
760,-13.9461,4.9791,9.0664,0min0sec
770,-13.7677,4.9343,9.0624,0min0sec
780,-13.5907,4.8913,9.0584,0min0sec
790,-13.4229,4.8496,9.0544,0min0sec
800,-13.2574,4.8083,9.0510,0min0sec
810,-13.0981,4.7685,9.0480,0min0sec
